"UO - Órgão Superior",,"Função Governo",,"Subfunção Governo",,"Ação Governo",,"JAN/2018","FEV/2018","MAR/2018","JAN/2017","FEV/2017","MAR/2017","ABR/2017","MAI/2017","JUN/2017","JUL/2017","AGO/2017","SET/2017","OUT/2017","NOV/2017","DEZ/2017","JAN/2016","FEV/2016","MAR/2016","ABR/2016","MAI/2016","JUN/2016","JUL/2016","AGO/2016","SET/2016","OUT/2016","NOV/2016","DEZ/2016"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","781","TRANSPORTE AEREO","5154","REFORMA E AMPLIACAO DE AEROPORTOS E AERODROMOS DE INTERESSE","","","","","","","","","","","","","","","","","","","","","","3.188.766,02","0,00","1.731.605,91","0,00","0,00","0,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","122A","DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DO RIO DE JA","","","","","","","","","","","","","","","","","","5.124.000,00","0,00","0,00","0,00","0,00","23.333.100,00","0,00","10.307.999,44","2.535.682,87","31.530.475,94"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","122E","DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DE SANTOS (S","","","","","","","","","","","","","","","","","417.852,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","122I","DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DE VITORIA (","","","","","","","","","","","","","","","","","","","","13.868.526,37","0,00","0,00","1.563.963,31","5.372.275,19","0,00","7.677.554,77","0,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","122O","DRAGAGEM DE APROFUNDAMENTO NO PORTO DE PARANAGUA (PR)","","","","","","","","","","","","","","","","","","","","","","3.028.155,71","126.173,15","0,00","0,00","0,00","2.562.891,59"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","12I0","MODERNIZACAO DO PORTO DE PORTO VELHO - NO ESTADO DE RONDONIA","","","","","","","","","","","","","","","","","","","","","","","","","","7.120.000,00","8.628.569,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","12K7","ALINHAMENTO E REFORCO DO BERCO 4 NO PORTO DE ITAJAI (SC)","","","","","","","","","","","","","","","","","0,00","10.950.000,00","0,00","0,00","0,00","0,00","4.886.330,33","0,00","3.488.747,41","0,00","0,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","212A","DRAGAGEM DE ADEQUACAO DA NAVEGABILIDADE EM PORTOS","","","","","","","","","","","","","","","","","","","","1.469.331,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","7L25","AMPLIACAO DO CAIS PUBLICO DO PORTO NOVO DO PORTO DE RIO GRAN","","","","","","","","","","","","","","","","237.380,22","9.105.250,94","4.873.293,04","5.350.028,37","3.660.351,09","3.269.214,62","2.643.522,69","6.131.368,37","4.617.595,34","3.008.707,83","2.379.546,66","3.805.128,06"
"20113","MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO","04","ADMINISTRACAO","121","PLANEJAMENTO E ORCAMENTO","14N6","PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DO PLANEJAMENT","","","","","","","","","","","","","","","","","","","","328.200,00","0,00","244.600,00","0,00","0,00","0,00","0,00","0,00"
"20113","MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO","04","ADMINISTRACAO","122","ADMINISTRACAO GERAL","8785","GESTAO E COORDENACAO DO PROGRAMA DE ACELERACAO DO CRESCIMENT","9.690,40","0,00","0,00","34.694,12","2.346,61","7.089,30","176.175,47","9.842,49","25.643,85","1.391,76","7.624,01","10.837,59","10.335,28","23.816,43","20.329,11","75.792,40","11.735,62","16.907,46","5.051,25","7.662,92","14.350,72","961,66","3.361,16","4.924,91","7.484,93","16.449,34","25.722,59"
"22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO","20","AGRICULTURA","608","PROMOCAO DA PRODUCAO AGROPECUARIA","20ZV","FOMENTO AO SETOR AGROPECUARIO","","","1.040.520,00","","","594.734,21","0,00","528.986,78","1.012.882,95","484.897,70","704.017,11","1.000.402,75","812.667,63","0,00","1.850.063,98","1.385.105,80","2.544.750,00","0,00","5.975.433,26","2.792.428,34","9.889.863,27","1.160.250,00","0,00","2.088.979,24","1.422.035,62","2.792.252,40","8.890.211,15"
