number,fifa_display_name,last_name,first_name,shirt_name,day_of_birth,position,club,height,caps,goals,team,esporte,media_gols
3,Yohan BEN ALOUANE,BEN ALOUANE,Yohan,BEN ALOUANE,1987-03-28,DF,Leicester (ENG),1.85,4,0,Tunisia,futebol,0
4,Yassine MERIAH,MERIAH,Yassine,MERIAH,1993-07-02,DF,CS Sfaxien (TUN),1.83,17,1,Tunisia,futebol,0.1
5,Oussama HADDADI,HADDADI,Oussama,HADDADI,1992-01-28,DF,Dijon (FRA),1.85,8,1,Tunisia,futebol,0.1
6,Rami BEDOUI,BEDOUI,Rami,BEDOUI,1990-01-19,DF,ES du Sahel (TUN),1.87,10,3,Tunisia,futebol,0.3
7,Saifeddine KHAOUI,KHAOUI,Saifeddine,KHAOUI,1995-04-27,FW,Troyes (FRA),1.8,5,0,Tunisia,futebol,0
8,Fakhreddine BEN YOUSSEF,BEN YOUSSEF,Fakhreddine,BEN YOUSSEF .F,1991-06-23,FW,Al Ittifaq (KSA),1.89,40,5,Tunisia,futebol,0.1
9,Anice BADRI,BADRI,Anice,BADRI,1990-09-18,MF,Esperance (TUN),1.78,11,3,Tunisia,futebol,0.3
10,Wahbi KHAZRI,KHAZRI,Wahbi,KHAZRI,1991-02-08,FW,Rennes (FRA),1.82,37,12,Tunisia,futebol,0.3
11,Dylan BRONN,BRONN,Dylan Daniel Mahmoud,BRONN,1995-06-19,DF,AA Gent (BEL),1.86,6,0,Tunisia,futebol,0
12,Ali MAALOUL,MAALOUL,Ali,MAALOUL,1990-01-01,DF,Al Ahly Cairo (EGY),1.7,48,8,Tunisia,futebol,0.2
13,Ferjani SASSI,SASSI,Ferjani,SASSI,1992-03-18,MF,Al Nasr (KSA),1.86,42,4,Tunisia,futebol,0.1
14,Mohamed BEN AMOR,BEN AMOR,Mohamed Amine,BEN AMOR,1992-05-03,MF,Al Ahli (KSA),1.8,27,2,Tunisia,futebol,0.1
15,Ahmed KHALIL,KHALIL,Ahmed,KHALIL,1994-12-21,FW,Club Africain (TUN),1.87,2,0,Tunisia,futebol,0
16,Aymen MATHLOUTHI,MATHLOUTHI,Aymen,MATHLOUTHI,1984-09-14,GK,Al Batin Football Club (KSA),1.82,71,0,Tunisia,futebol,0
17,Ellyes SKHIRI,SKHIRI,Ellyes Joris,SKHIRI,1995-05-10,MF,Montpellier (FRA),1.85,6,0,Tunisia,futebol,0
18,Bassem SRARFI,SRARFI,Bassem,SRARFI,1997-06-25,FW,OGC Nice (FRA),1.76,5,0,Tunisia,futebol,0
19,Saber KHALIFA,KHALIFA,Saber,KHALIFA,1986-10-14,FW,Club Africain (TUN),1.85,45,7,Tunisia,futebol,0.2
20,Ghaylen CHAALELI,CHAALELI,Ghaylen,CHAALELI,1994-02-28,FW,Esperance (TUN),1.79,7,1,Tunisia,futebol,0.1
21,Hamdi NAGUEZ,NAGUEZ,Hamdi,NAGUEZ,1992-10-28,DF,Zamalek (EGY),1.86,17,5,Tunisia,futebol,0.3
22,Mouez HASSEN,HASSEN,Mouez,HASSEN,1995-03-05,GK,Chateauroux (FRA),1.86,4,0,Tunisia,futebol,0
23,Naim SLITI,SLITI,Naim,SLITI,1992-07-27,FW,Dijon (FRA),1.73,20,3,Tunisia,futebol,0.2
1,Fernando MUSLERA,MUSLERA MICOL,Nestor Fernando,F. MUSLERA,1986-06-16,GK,Galatasaray (TUR),1.9,99,0,Uruguay,futebol,0
2,Jose GIMENEZ,GIMENEZ DE VARGAS,José Maria,J.M. GIMENEZ,1995-01-20,DF,Atlético Madrid (ESP),1.85,44,6,Uruguay,futebol,0.1
3,Diego GODIN,GODIN LEAL,Diego Roberto,D. GODIN,1986-02-16,DF,Atlético Madrid (ESP),1.85,118,8,Uruguay,futebol,0.1
4,Guillermo VARELA,VARELA OLIVERA,Guillermo,G. VARELA,1993-03-24,DF,Peñarol (URU),1.73,5,0,Uruguay,futebol,0
5,Carlos SANCHEZ,SÁNCHEZ ARCOSA,Carlos Andrés,C. SANCHEZ,1984-12-02,MF,Monterrey (MEX),1.71,37,1,Uruguay,futebol,0
6,Rodrigo BENTANCUR,BENTANCUR COLMAN,Rodrigo,R. BENTANCUR,1997-06-25,MF,Juventus (ITA),1.87,9,0,Uruguay,futebol,0
7,Cristian RODRIGUEZ,RODRIGUEZ BAROTTI,Cristian Gabriel,C. RODRIGUEZ,1985-09-30,MF,Peñarol (URU),1.78,107,11,Uruguay,futebol,0.1
8,Nahitan NANDEZ,NANDEZ ACOSTA,Nahitan Michel,N. NANDEZ,1995-12-28,MF,Boca Juniors (ARG),1.71,14,0,Uruguay,futebol,0
9,Luis SUAREZ,SUAREZ DIAZ,Luis Alberto,L. SUAREZ,1987-01-24,FW,FC Barcelona (ESP),1.82,100,52,Uruguay,futebol,0.5
10,Giorgian DE ARRASCAETA,DE ARRASCAETA BENEDETTI,Giorgian Daniel,G. DE ARRASCAETA,1994-06-01,FW,Cruzeiro (BRA),1.72,15,2,Uruguay,futebol,0.1
11,Cristhian STUANI,STUANI CURBELO,Cristhian Ricardo,C. STUANI,1986-10-12,FW,Girona Futbol Club (ESP),1.86,41,5,Uruguay,futebol,0.1
12,Martin CAMPANA,CAMPAÑA DELGADO,Martín Nicolas,M. CAMPAÑA,1989-05-29,GK,Independiente (ARG),1.84,1,0,Uruguay,futebol,0
13,Gaston SILVA,SILVA PERDOMO,Gaston Alexis,G. SILVA,1994-03-05,DF,Independiente (ARG),1.85,17,0,Uruguay,futebol,0
14,Lucas TORREIRA,TORREIRA DI PASCUA,Lucas Sebastian,L. TORREIRA,1996-02-11,MF,Sampdoria (ITA),1.68,5,0,Uruguay,futebol,0
15,Matias VECINO,VECINO FALERO,Matias,M. VECINO,1991-08-24,MF,Internazionale (ITA),1.89,24,1,Uruguay,futebol,0
16,Maximiliano PEREIRA,PEREIRA PAEZ,Victorio Maximiliano,M. PEREIRA,1984-06-08,DF,FC Porto (POR),1.73,125,3,Uruguay,futebol,0
17,Diego LAXALT,LAXALT SUAREZ,Diego Sebastian,D. LAXALT,1993-02-07,MF,Genoa (ITA),1.78,7,0,Uruguay,futebol,0
18,Maximiliano GOMEZ,GÓMEZ GONZÁLEZ,Maximiliano,M. GOMEZ,1996-08-14,FW,Celta (ESP),1.86,5,0,Uruguay,futebol,0
19,Sebastian COATES,COATES NION,Sebastián,S. COATES,1990-10-07,DF,Sporting CP (POR),1.96,30,1,Uruguay,futebol,0
20,Jonathan URRETAVISCAYA,URRETAVISCAYA DA LUZ,Jonathan Matias,J. URRETAVISCAYA,1990-03-19,FW,Monterrey (MEX),1.72,4,0,Uruguay,futebol,0
21,Edinson CAVANI,CAVANI GOMEZ,Edinson Roberto,E. CAVANI,1987-02-14,FW,Paris Saint-Germain (FRA),1.88,103,42,Uruguay,futebol,0.4
22,Martin CACERES,CÁCERES SILVA,José Martín,M. CACERES,1987-04-07,DF,Lazio (ITA),1.78,78,4,Uruguay,futebol,0.1
23,Martin SILVA,SILVA LEITES,Martin Andres,M. SILVA,1983-03-25,GK,Clube de Regatas Vasco da Gama (BRA),1.87,11,0,Uruguay,futebol,0
