uf;municipio;data;eleitores
GO;aurilandia;2016-03-19;3298
GO;barro_alto;2016-03-12;7377
GO;bela_vista_de_goias;2014-02-14;18901
GO;brazabrantes;2014-02-14;2745
GO;buriti_alegre;2016-03-19;7367
GO;buritinopolis;2016-03-04;3118
GO;cachoeira_alta;2016-03-12;7495
GO;cachoeira_de_goias;2016-03-19;1587
GO;cachoeira_dourada;2016-03-11;7448
GO;caiaponia;2016-02-26;12434
GO;caldas_novas;2016-03-19;55834
GO;caldazinha;2014-02-14;3003
GO;campestre_de_goias;2014-02-14;3592
GO;campinorte;2016-03-12;8720
GO;campo_alegre_de_goias;2016-03-12;4611
GO;campo_limpo_de_goias;2014-02-14;5597
GO;campos_belos;2016-03-11;14258
GO;castelandia;2016-03-12;3556
GO;catalao;2016-01-29;64372
GO;caturai;2014-02-14;3887
GO;cezarina;2016-02-26;7403
GO;chapadao_do_ceu;2016-02-26;5764
GO;cidade_ocidental;2016-03-19;35787
GO;cocalzinho_de_goias;2012-04-01;11934
GO;corumba_de_goias;2012-04-01;7252
GO;corumbaiba;2016-01-31;6256
GO;cristianopolis;2016-02-26;3087
GO;cumari;2015-12-18;2509
GO;damianopolis;2016-03-04;3262
GO;damolandia;2014-02-14;3264
GO;davinopolis;2016-01-29;2458
GO;doverlandia;2016-02-05;5903
GO;edealina;2016-02-26;3570
GO;edeia;2016-02-26;8923
GO;estrela_do_norte;2016-02-26;2947
GO;faina;2016-03-11;6190
GO;firminopolis;2016-03-19;8037
GO;formoso;2016-02-19;4331
GO;goianapolis;2014-02-14;9594
GO;goianesia;2016-03-18;46494
GO;goiania;2012-03-23;909428
GO;goianira;2014-02-14;25347
GO;goias;2016-03-11;19816
GO;guapo;2014-02-14;11093
GO;guaraita;2016-02-26;2398
GO;hidrolandia;2009-12-07;13150
GO;inhumas;2014-02-14;39104
GO;ipameri;2016-03-12;19716
GO;itaguari;2016-03-12;4151
GO;itaguaru;2016-03-11;5069
GO;itaja;2016-03-19;3891
GO;itapuranga;2016-03-12;21123
GO;itumbiara;2016-03-11;71384
GO;ivolandia;2016-03-12;2995
GO;jatai;2016-03-12;64961
GO;lagoa_santa;2016-03-19;1401
GO;mambai;2016-03-04;5587
GO;mara_rosa;2016-03-11;8070
GO;marzagao;2016-03-19;1962
GO;maurilandia;2016-03-19;8520
GO;moipora;2016-02-26;2185
GO;monte_alegre_de_goias;2016-03-11;5429
GO;montividiu;2016-02-26;8440
GO;montividiu_do_norte;2016-02-19;3240
GO;morrinhos;2016-03-19;33237
GO;mossamedes;2016-03-19;4329
GO;mozarlandia;2016-03-19;10780
GO;mutunopolis;2016-02-26;3531
GO;neropolis;2014-02-14;20193
GO;nova_crixas;2016-03-12;8593
GO;nova_iguacu_de_goias;2016-03-12;2647
GO;nova_veneza;2014-02-14;6981
GO;ouro_verde_de_goias;2014-02-14;3960
GO;ouvidor;2016-01-29;5633
GO;palestina_de_goias;2016-01-19;3407
GO;palmeiras_de_goias;2016-02-26;18883
GO;palmelo;2016-02-26;2137
GO;palminopolis;2016-03-18;3783
GO;panama;2016-02-26;2495
GO;perolandia;2016-02-26;3002
GO;piracanjuba;2016-03-12;19100
GO;piranhas;2016-03-11;9450
GO;planaltina;2016-03-19;53672
GO;rialma;2016-03-18;8767
GO;rianapolis;2016-03-18;3894
GO;rio_quente;2016-03-19;3293
GO;rio_verde;2016-03-18;118315
GO;santa_cruz_de_goias;2016-02-26;2981
GO;santa_helena_de_goias;2016-03-19;28483
GO;santa_isabel;2016-03-18;3476
GO;santa_rita_do_novo_destino;2016-03-18;2611
GO;santa_tereza_de_goias;2016-02-19;3276
GO;santo_antonio_da_barra;2016-02-26;3653
GO;santo_antonio_de_goias;2014-02-14;5171
GO;santo_antonio_do_descoberto;2016-03-19;40108
GO;sao_luis_de_montes_belos;2016-03-11;23426
GO;senador_canedo;2014-02-14;58487
GO;serranopolis;2016-02-26;5370
GO;simolandia;2016-03-04;5328
GO;sitio_d_abadia;2016-03-04;2634
GO;taquaral_de_goias;2016-03-12;3928
GO;terezopolis_de_goias;2014-02-14;5745
GO;tres_ranchos;2016-01-29;3155
GO;trindade;2014-02-14;76296
GO;trombas;2016-02-19;2902
GO;turvania;2016-03-18;4459
GO;uruacu;2016-03-12;26346
GO;valparaiso_de_goias;2016-03-12;72988
GO;varjao;2016-03-19;3707
GO;vila_propicio;2016-03-18;4072
MA;acailandia;2016-02-29;73446
MA;bacabal;2016-02-19;64517
MA;bacurituba;2015-12-04;5168
MA;balsas;2015-12-10;54410
MA;barra_do_corda;2013-12-19;55056
MA;belagua;2016-03-31;5556
MA;benedito_leite;2012-02-16;4366
MA;cajapio;2010-12-08;8285
MA;caxias;2016-03-30;103749
MA;codo;2015-12-17;78212
MA;coroata;2016-01-29;44179
MA;esperantinopolis;2016-01-29;13661
MA;feira_nova_do_maranhao;2015-11-20;5682
MA;fernando_falcao;2013-12-19;6435
MA;fortaleza_dos_nogueiras;2015-12-11;9094
MA;imperatriz;2016-02-17;162542
MA;jenipapo_dos_vieiras;2013-12-19;10454
MA;junco_do_maranhao;2016-03-31;4378
MA;maracacume;2016-03-31;12312
MA;matinha;2016-02-26;17606
MA;matoes;2016-03-31;23025
MA;moncao;2015-11-29;19578
MA;nova_colinas;2015-11-06;4009
MA;nova_iorque;2012-12-08;3842
MA;paco_do_lumiar;2010-02-27;49959
MA;pastos_bons;2012-12-08;13194
MA;paulo_ramos;2016-02-19;14676
MA;peritoro;2015-10-30;15279
MA;pindare_mirim;2016-03-18;22517
MA;pocao_de_pedras;2016-01-29;15401
MA;raposa;2010-01-23;16474
MA;riachao;2015-09-01;14164
MA;santa_ines;2016-03-11;56457
MA;sao_bento;2016-02-19;26486
MA;sao_domingos_do_azeitao;2012-12-08;5626
MA;sao_joao_batista;2010-12-08;16858
MA;sao_jose_de_ribamar;2013-12-19;88168
MA;sao_luis;2013-12-19;676331
MA;sao_vicente_ferrer;2010-12-08;16559
MA;timbiras;2013-12-17;18962
MA;timon;2016-02-04;104917
MA;tufilandia;2016-03-31;5791
MA;urbano_santos;2016-03-31;19224
MA;viana;2016-01-12;34880
MG;abre_campo;2015-03-21;11154
MG;arantina;2015-12-18;2663
MG;arapora;2012-02-29;5741
MG;arapua;2015-03-10;3009
MG;belo_vale;2015-03-09;7690
MG;bom_jesus_do_amparo;2012-02-29;4617
MG;bras_pires;2013-08-30;4293
MG;cachoeira_dourada;2012-01-31;2495
MG;carvalhopolis;2015-12-18;3162
MG;cedro_do_abaete;2015-12-18;1390
MG;chacara;2015-12-18;2646
MG;chiador;2015-12-18;2988
MG;claro_dos_pocoes;2015-12-18;7474
MG;coimbra;2012-02-29;6124
MG;conceicao_dos_ouros;2015-12-18;8361
MG;cordislandia;2015-12-18;3078
MG;corrego_novo;2015-12-18;3664
MG;curvelo;2010-02-26;52103
MG;diogo_de_vasconcelos;2015-12-18;3819
MG;divinesia;2012-02-29;3236
MG;divinopolis;2013-11-29;158536
MG;dores_do_turvo;2013-08-30;4838
MG;douradoquara;2015-12-18;1897
MG;espinosa;2015-05-14;25244
MG;estrela_dalva;2012-02-29;2296
MG;faria_lemos;2012-02-29;3073
MG;frei_lagonegro;2015-12-18;3247
MG;galileia;2012-02-29;5368
MG;guaraciama;2015-12-18;5079
MG;guidoval;2015-12-18;6246
MG;ibitiura_de_minas;2015-12-18;3249
MG;irai_de_minas;2015-12-18;5657
MG;itaguara;2012-02-03;10032
MG;itapeva;2012-02-03;6784
MG;itueta;2015-12-18;5268
MG;joaquim_felicio;2015-12-18;3594
MG;juramento;2015-12-18;4431
MG;madre_de_deus_de_minas;2015-12-18;4301
MG;mar_de_espanha;2015-12-18;9679
MG;marmelopolis;2012-02-29;2874
MG;mata_verde;2012-02-29;6392
MG;miradouro;2015-03-12;8527
MG;montezuma;2012-02-03;5246
MG;morro_da_garca;2015-12-18;2758
MG;nova_belem;2015-12-18;3616
MG;nova_modica;2015-12-18;3252
MG;nova_porteirinha;2015-12-18;6070
MG;para_de_minas;2010-02-26;56713
MG;passabem;2015-12-18;1839
MG;pedra_bonita;2015-12-18;5497
MG;pedra_do_indaia;2015-12-18;3588
MG;piau;2015-12-18;2910
