DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUNICIPIO;NOME_MUNICIPIO;NUMERO_ZONA;CODIGO_CARGO;DESCRICAO_CARGO;QTD_APTOS;QTD_SECOES;QTD_SECOES_AGREGADAS;QTD_APTOS_TOT;QTD_SECOES_TOT;QTD_COMPARECIMENTO;QTD_ABSTENCOES;QTD_VOTOS_NOMINAIS;QTD_VOTOS_BRANCOS;QTD_VOTOS_NULOS;QTD_VOTOS_LEGENDA;QTD_VOTOS_ANULADOS_APU_SEP;DATA_ULT_TOTALIZACAO;HORA_ULT_TOTALIZACAO;TRANSITO;QTD_VOTOS_ANULADOS
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;63754;63754;DESCALVADO;44;11;PREFEITO;25221;69;2;25221;69;19761;5460;16538;1082;2141;0;0;02/10/2016;18:14:59;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61310;61310;AMERICANA;384;13;VEREADOR;91225;254;0;91225;254;74769;16456;59493;5340;6275;3661;0;02/10/2016;19:01:44;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;69078;69078;PONTES GESTAL;224;11;PREFEITO;2535;8;0;2535;8;2230;305;2140;28;62;0;0;02/10/2016;18:05:54;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61417;61417;ANDRADINA;9;13;VEREADOR;44094;132;3;44094;132;34450;9644;29995;1162;1567;1726;0;13/12/2016;14:21:36;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;64335;64335;GÁLIA;47;11;PREFEITO;5571;18;1;5571;18;4308;1263;4034;79;195;0;0;08/11/2016;15:21:43;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;61654;61654;ARARAS;14;13;VEREADOR;95980;256;8;95980;256;77902;18078;62713;5014;5273;4902;0;16/12/2016;15:10:38;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62774;62774;CAFELÂNDIA;31;11;PREFEITO;13573;38;1;13573;38;10467;3106;4307;329;5831;0;0;23/01/2017;15:01:25;N;0
03/05/2018;13:13:28;2016;2;ELEIÇÕES MUNICIPAIS 2016;SP;69698;69698;RIBEIRÃO PRETO;322;11;PREFEITO;100649;270;1;100649;270;74547;26102;60469;2701;11377;0;0;30/10/2016;19:35:40;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;67075;67075;MIRASSOL;72;11;PREFEITO;41241;112;2;41241;112;32505;8736;28489;1599;2417;0;0;03/11/2016;15:33:50;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;70572;70572;SANTO ANDRÉ;264;13;VEREADOR;39806;113;0;39806;113;30121;9685;20296;1912;4845;3068;0;05/06/2017;15:33:26;N;0
